Week,Day,Case,Update Freq,Sim Time,Hazard,Object ID,Object Probability %,Coverage type,Commercial,On Air Time,Urban/Rural
1,2,11,10,17:45:00,,,,1,,0:00:00,
1,2,11,10,17:45:00,2,892,70,1,,0:00:00,1
1,2,11,10,18:00:00,2,892,80,4,,0:01:00,1
1,2,11,10,18:07:00,2,892,80,1,,0:00:00,1
1,2,11,10,18:15:00,1,1,65,3,,0:03:06,1
1,2,11,10,18:28:00,1,1,65,3,,0:01:09,1
1,2,11,10,18:36:00,1,1,35,4,,0:00:58,1
1,2,11,10,18:45:00,1,2,70,4,,0:01:52,1
1,2,11,10,18:54:00,1,2,70,4,,0:01:20,1
1,2,11,10,19:06:00,1,2,50,4,,0:02:58,1
1,2,11,10,19:10:00,1,2,50,4,,0:01:57,1
1,2,11,10,19:23:00,1,2,100,4,,0:01:58,1
1,2,11,10,19:31:00,1,2,100,4,,0:01:21,1
1,2,11,10,19:40:00,1,2,100,4,,0:04:34,1
1,2,12,10,17:53:00,1,,,1,,0:00:00,
1,2,12,10,18:02:00,2,937,95,3,,0:01:21,1
1,2,12,10,18:11:00,2,937,95,3,,0:02:10,1
1,2,12,10,18:29:00,1,1,75,3,,0:01:19,1
1,3,13,5,15:30:00,1,,,1,,0:00:00,
1,3,13,5,15:31:00,2,334,55,1,,0:00:00,2
1,3,13,5,15:34:00,2,334,55,4,1,0:01:15,2
1,3,13,5,15:42:00,2,334,95,4,1,0:01:15,2
1,3,13,5,15:47:00,2,334,95,4,,0:01:42,2
1,3,13,5,15:54:00,2,334,100,4,,0:01:45,2
1,3,13,5,16:05:00,1,1,65,4,,0:05:22,2
1,3,13,5,16:16:00,1,1,65,4,,n/a,2
1,3,13,5,16:16:00,1,2,85,5,,1:14:25,2
1,3,14,5,17:30:00,1,,,1,,0:00:00,1
1,3,14,5,18:15:00,2,907,100,3,,0:02:00,1
1,3,14,5,18:24:00,2,,,1,,0:00:00,1
1,3,14,5,18:27:00,2,907,95,3,,0:01:32,1
1,3,14,5,18:45:00,1,2,60,4,1,0:01:19,1
1,3,14,5,,2,2,70,4,1,n/a,1
1,3,14,5,18:52:00,2,907,95,1,,0:00:00,1
1,3,14,5,18:56:00,2,907,95,4,1,0:02:08,1
1,3,14,5,,2,120,100,4,1,n/a,1
1,4,15,2,14:38:00,3,315,22,1,,n/a,0:00:00
1,4,15,2,14:42:00,3,425,95,1,,,0:00:00
1,4,15,2,14:48:00,3,,,1,,,0:00:00
1,4,15,2,14:55:00,3,425,99,1,,,0:00:00
1,4,15,2,15:01:00,3,,,1,,,0:00:00
1,4,15,2,15:09:00,3,,,1,,,0:00:00
1,4,15,2,15:13:00,3,315,99,1,,,0:00:00
1,4,15,2,15:15:00,3,425,98,1,,,0:00:00
1,4,15,2,15:18:00,3,487,98,1,,,0:00:00
1,4,15,2,15:26:00,3,,,1,,,
1,4,15,2,15:32:00,3,659,59,1,,,0:00:00
1,4,15,2,15:57:00,3,659,100,1,,,0:00:00
